13/10/17,Cymru Clash 2017 MRDA Championships,St. Louis Gatekeepers,352,Manchester Roller Derby,83,T1,269,,,,,,,,,,,,,,,,,
13/10/17,Cymru Clash 2017 MRDA Championships,Bridgetown Roller Derby,266,Roller Derby Toulouse,83,T1,183,,,,,,,,,,,,,,,,,
14/10/17,Cymru Clash 2017 MRDA Championships,Southern Discomfort,308,Puget Sound Outcast Derby,96,T1,212,,,,,,,,,,,,,,,,,
14/10/17,Cymru Clash 2017 MRDA Championships,Vancouver Murder,270,Philadelphia Hooligans,69,T1,201,,,,,,,,,,,,,,,,,
14/10/17,Cymru Clash 2017 MRDA Championships,Manchester Roller Derby,186,New York Shock Exchange,123,T1,63,,,,,,,,,,,,,,,,,
14/10/17,Cymru Clash 2017 MRDA Championships,Roller Derby Toulouse,336,Puget Sound Outcast Derby,162,T1,174,,,,,,,,,,,,,,,,,
14/10/17,Cymru Clash 2017 MRDA Championships,St. Louis Gatekeepers,204,San Diego Aftershocks,133,T1,71,,,,,,,,,,,,,,,,,
14/10/17,Cymru Clash 2017 MRDA Championships,Bridgetown Roller Derby,233,Southern Discomfort,123,T1,110,,,,,,,,,,,,,,,,,
15/10/17,Cymru Clash 2017 MRDA Championships,Philadelphia Hooligans,192,Austin Anarchy,171,T1,21,,,,,,,,,,,,,,,,,
15/10/17,Cymru Clash 2017 MRDA Championships,Manchester Roller Derby,163,Roller Derby Toulouse,200,T1,-37,,,,,,,,,,,,,,,,,
15/10/17,Cymru Clash 2017 MRDA Championships,Vancouver Murder,217,Austin Anarchy,139,T1,78,,,,,,,,,,,,,,,,,
15/10/17,Cymru Clash 2017 MRDA Championships,San Diego Aftershocks,241,Southern Discomfort,151,T1,90,,,,,,,,,,,,,,,,,
15/10/17,Cymru Clash 2017 MRDA Championships,St. Louis Gatekeepers,181,Bridgetown Roller Derby,156,T1,25,,,,,,,,,,,,,,,,,
15/10/17,,Atlanta Men's Roller Derby,178,Capital City Hooligans,127,T1,51,,,,,,,,,,,,,,,,,
28/10/17,,East Anglo Smacksons,53,Granite City Brawlers,271,T1,-218,,,,,,,,,,,,,,,,,
28/10/17,,Collision Men's Derby,284,Harm City Men's Derby,109,T1,175,"Not yet sanctioned 2 March, Score sourced from FTS",,,,,,,,,,,,,,,,
